Society_Name,Locality,Price,Average Price,BHK Type,Area,Possession Status
Marina Skies,"Hitech City, Hyderabad",₹1.56 Cr,"₹9,455 per sqft",3 BHK,1650 sqft,Ready to Move
Lumbini Elysee,"3 BHK Flat for Sale in
                Financial District, Nanakram Guda, Hyderabad",₹2.20 Cr,"₹10,471 per sqft",3 BHK,2101 sqft,Poss. by Oct '25
Kalpataru Avante,"Sanath Nagar, NH 9, Hyderabad",₹1.71 Cr,N/A,3 BHK,1566 sqft,Poss. by Dec '26
Aranya Kalanjali,"Kompally, Hyderabad",₹1.54 Cr,"₹6,500 per sqft",3 BHK,2375 sqft,Poss. by Dec '26
The Ananda,"Pocharam, NH 2 2, Hyderabad",₹1.02 Cr,"₹5,496 per sqft",3 BHK,1856 sqft,Poss. by Dec '24
GK Rajs Casa Grande,"Yapral, Hyderabad",₹1.59 Cr,"₹6,510 per sqft",3 BHK,2455 sqft,Poss. by Dec '24
Hivision Heights,"Kompally, Hyderabad",₹1.13 Cr,"₹7,609 per sqft",3 BHK,1485 sqft,Poss. by Mar '25
Candeur Crescent,"Serilingampalle M, Hyderabad",₹2.29 Cr,"₹8,649 per sqft",3 BHK,2656 sqft,Poss. by Dec '25
Kalpataru Avante,"Sanath Nagar, NH 9, Hyderabad",₹1.71 Cr,N/A,3 BHK,1566 sqft,Poss. by Dec '26
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,253 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Vertex 33 West,"Nalagandla, Hyderabad",₹1.66 Cr,"₹7,981 per sqft",3 BHK,2080 sqft,Poss. by Aug '28
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,280 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Elegant Nivasa,"Tellapur, Outer Ring Road, Hyderabad",₹86.6 Lac,"₹6,299 per sqft",3 BHK,1375 sqft,Poss. by Sep '28
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,253 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Vertex 33 West,"Nalagandla, Hyderabad",₹1.36 Cr,"₹8,047 per sqft",3 BHK,1690 sqft,Poss. by Aug '28
Green Alpha,"Tellapur, Outer Ring Road, Hyderabad",₹1.45 Cr,"₹7,500 per sqft",3 BHK,1935 sqft,Ready to Move
Wave,"Kollur, Outer Ring Road, Hyderabad",₹1.38 Cr,"₹7,199 per sqft",3 BHK,1930 sqft,Poss. by Dec '27
Paras Prem Homes by Shiv Krishna Constructions,"Ghatkesar, NH 2 2 Hyderabad",₹1.79 Cr,"₹5,659 per sqft","3 BHK Villa for Sale in Ghatkesar, NH 2 2 Hyderabad",3163 sqft,Ready to Move
Marina Skies,"Hitech City, Hyderabad",₹1.56 Cr,"₹9,455 per sqft",3 BHK,1650 sqft,Ready to Move
Lumbini Elysee,"Financial District, Nanakram Guda, Hyderabad",₹2.20 Cr,"₹10,471 per sqft",3 BHK,2101 sqft,Poss. by Oct '25
Happiness Hub,"Kismatpur, Outer Ring Road, Hyderabad",₹70.1 Lac,"₹6,417 per sqft",2 BHK,1092 sqft,Poss. by Dec '25
Prajay Treetops,Shamirpet Hyderabad,₹2.68 Cr,"₹7,200 per sqft",3 BHK Villa for Sale in Shamirpet Hyderabad,3730 sqft,Ready to Move
ASBL Springs,"Pocharam, NH 2 2, Hyderabad",₹81.9 Lac,"₹5,554 per sqft",3 BHK,1475 sqft,Poss. by Sep '24
Aranya Kalanjali,"Kompally, Hyderabad",₹1.54 Cr,"₹6,500 per sqft",3 BHK,2375 sqft,Poss. by Dec '26
Vertex 33 West,"Nalagandla, Hyderabad",₹1.66 Cr,"₹7,981 per sqft",3 BHK,2080 sqft,Poss. by Aug '28
The Ananda,"Pocharam, NH 2 2, Hyderabad",₹1.02 Cr,"₹5,496 per sqft",3 BHK,1856 sqft,Poss. by Dec '24
GK Rajs Casa Grande,"Yapral, Hyderabad",₹1.59 Cr,"₹6,510 per sqft",3 BHK,2455 sqft,Poss. by Dec '24
Hivision Heights,"Kompally, Hyderabad",₹1.13 Cr,"₹7,609 per sqft",3 BHK,1485 sqft,Poss. by Mar '25
Candeur Crescent,"Serilingampalle M, Hyderabad",₹2.29 Cr,"₹8,649 per sqft",3 BHK,2656 sqft,Poss. by Dec '25
Kalpataru Avante,"Sanath Nagar, NH 9, Hyderabad",₹1.71 Cr,N/A,3 BHK,1566 sqft,Poss. by Dec '26
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,253 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Vertex 33 West,"Nalagandla, Hyderabad",₹1.66 Cr,"₹7,981 per sqft",3 BHK,2080 sqft,Poss. by Aug '28
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,280 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Elegant Nivasa,"Tellapur, Outer Ring Road, Hyderabad",₹86.6 Lac,"₹6,299 per sqft",3 BHK,1375 sqft,Poss. by Sep '28
Vertex 33 West,"Nalagandla, Hyderabad",₹1.36 Cr,"₹8,047 per sqft",3 BHK,1690 sqft,Poss. by Aug '28
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,280 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Green Alpha,"Tellapur, Outer Ring Road, Hyderabad",₹1.45 Cr,"₹7,500 per sqft",3 BHK,1935 sqft,Ready to Move
